filename,tier,subject,source,rights_reference,status
tour-timkat-ethiopia-7-days-hero.jpg,3,"Timkat Festival Circuit hero",,,needed
tour-meskel-ethiopia-6-days-hero.jpg,3,"Meskel Festival and Addis Ababa hero",,,needed
tour-ethiopia-festival-calendar-14-days-hero.jpg,3,"Full Festival Calendar hero",,,needed
tour-timkat-gondar-deep-9-days-hero.jpg,3,"Timkat in Gondar Deep Experience hero",,,needed
tour-ethiopian-new-year-enkutatash-5-days-hero.jpg,3,"Ethiopian New Year — Enkutatash hero",,,needed
tour-fasika-easter-lalibela-8-days-hero.jpg,3,"Fasika — Ethiopian Easter at Lalibela hero",,,needed
tour-photography-complete-expedition-14-days-hero.jpg,3,"Photography Complete Expedition hero",,,needed
tour-omo-valley-portrait-photography-8-days-hero.jpg,3,"Omo Valley Portrait Photography hero",,,needed
tour-wildlife-photography-10-days-hero.jpg,3,"Wildlife Photography hero",,,needed
tour-lalibela-cultural-photography-7-days-hero.jpg,3,"Lalibela Cultural Photography hero",,,needed
tour-danakil-landscape-photography-9-days-hero.jpg,3,"Danakil Landscape Photography hero",,,needed
tour-festival-photography-10-days-hero.jpg,3,"Festival Photography hero",,,needed
tour-classic-northern-ethiopia-10-days-cta.jpg,3,"Classic Northern Ethiopia CTA backdrop",,,needed
tour-lalibela-gondar-tigray-14-days-cta.jpg,3,"Lalibela, Gondar and Tigray CTA backdrop",,,needed
tour-ethiopia-complete-historic-18-days-cta.jpg,3,"Complete Historic Ethiopia CTA backdrop",,,needed
tour-addis-ababa-lalibela-short-5-days-cta.jpg,3,"Addis Ababa and Lalibela CTA backdrop",,,needed
tour-axum-tigray-specialist-8-days-cta.jpg,3,"Axum and Tigray Specialist CTA backdrop",,,needed
tour-gondar-bahir-dar-lakes-6-days-cta.jpg,3,"Gondar, Bahir Dar and Lake Tana CTA backdrop",,,needed
tour-omo-valley-complete-10-days-cta.jpg,3,"Omo Valley Complete CTA backdrop",,,needed
tour-omo-valley-short-6-days-cta.jpg,3,"Omo Valley Introduction CTA backdrop",,,needed
tour-south-ethiopia-culture-8-days-cta.jpg,3,"South Ethiopia Culture CTA backdrop",,,needed
tour-omo-valley-konso-deep-12-days-cta.jpg,3,"Omo Valley and Konso Deep Immersion CTA backdrop",,,needed
tour-hamar-bull-jumping-9-days-cta.jpg,3,"Hamar Bull-Jumping Journey CTA backdrop",,,needed
tour-southern-tribes-photography-11-days-cta.jpg,3,"Southern Tribes Photography CTA backdrop",,,needed
tour-bale-simien-wolf-gelada-12-days-cta.jpg,3,"Wolf and Gelada: Bale and Simien CTA backdrop",,,needed
tour-bale-mountains-wildlife-5-days-cta.jpg,3,"Bale Mountains Wildlife Focus CTA backdrop",,,needed
tour-simien-trekking-wildlife-8-days-cta.jpg,3,"Simien Trekking and Wildlife CTA backdrop",,,needed
tour-endemic-mammals-circuit-15-days-cta.jpg,3,"Endemic Mammals Grand Circuit CTA backdrop",,,needed
tour-ethiopia-birding-specialist-14-days-cta.jpg,3,"Ethiopia Birding Specialist CTA backdrop",,,needed
tour-rift-valley-lakes-birding-7-days-cta.jpg,3,"Rift Valley Lakes and Birding CTA backdrop",,,needed
tour-danakil-north-circuit-9-days-cta.jpg,3,"Danakil and North Circuit CTA backdrop",,,needed
tour-simien-mountains-trekking-7-days-cta.jpg,3,"Simien Mountains Trek CTA backdrop",,,needed
tour-mobile-camp-expedition-12-days-cta.jpg,3,"Mobile Camp Expedition CTA backdrop",,,needed
tour-erta-ale-volcano-4-days-cta.jpg,3,"Erta Ale Volcano Express CTA backdrop",,,needed
tour-danakil-omo-extreme-16-days-cta.jpg,3,"Danakil and Omo Extremes CTA backdrop",,,needed
tour-bale-trekking-adventure-8-days-cta.jpg,3,"Bale Mountains Trek and Highlands CTA backdrop",,,needed
tour-timkat-ethiopia-7-days-cta.jpg,3,"Timkat Festival Circuit CTA backdrop",,,needed
tour-meskel-ethiopia-6-days-cta.jpg,3,"Meskel Festival and Addis Ababa CTA backdrop",,,needed
tour-ethiopia-festival-calendar-14-days-cta.jpg,3,"Full Festival Calendar CTA backdrop",,,needed
tour-timkat-gondar-deep-9-days-cta.jpg,3,"Timkat in Gondar Deep Experience CTA backdrop",,,needed
tour-ethiopian-new-year-enkutatash-5-days-cta.jpg,3,"Ethiopian New Year — Enkutatash CTA backdrop",,,needed
tour-fasika-easter-lalibela-8-days-cta.jpg,3,"Fasika — Ethiopian Easter at Lalibela CTA backdrop",,,needed
tour-photography-complete-expedition-14-days-cta.jpg,3,"Photography Complete Expedition CTA backdrop",,,needed
tour-omo-valley-portrait-photography-8-days-cta.jpg,3,"Omo Valley Portrait Photography CTA backdrop",,,needed
tour-wildlife-photography-10-days-cta.jpg,3,"Wildlife Photography CTA backdrop",,,needed
tour-lalibela-cultural-photography-7-days-cta.jpg,3,"Lalibela Cultural Photography CTA backdrop",,,needed
tour-danakil-landscape-photography-9-days-cta.jpg,3,"Danakil Landscape Photography CTA backdrop",,,needed
tour-festival-photography-10-days-cta.jpg,3,"Festival Photography CTA backdrop",,,needed
contact-hero-specialist-planning.jpg,4,"Enquiry hero: real Sawla specialist planning",archive,,needed
contact-cta-coffee-ceremony.jpg,4,"Enquiry CTA: coffee ceremony",archive,,needed
pricing-hero.jpg,4,"Pricing page hero: planning context",archive,,needed
tour-hub-historic-cultural-ethiopia-tours.jpg,5,"Heritage Pilgrimage hub hero",,,needed
tour-hub-omo-valley-cultural-tours.jpg,5,"Tribal Encounters hub hero",,,needed
tour-hub-ethiopia-wildlife-tours.jpg,5,"Wildlife & Birding hub hero",,,needed
tour-hub-ethiopia-adventure-tours.jpg,5,"Frontier Adventure hub hero",,,needed
tour-hub-ethiopia-festival-tours.jpg,5,"Festival Immersion hub hero",,,needed
tour-hub-ethiopia-photography-tours.jpg,5,"Photography Journeys hub hero",,,needed
tour-hub-ethiopia-birdwatching-tours.jpg,5,"Birdwatching Tours hub hero",,,needed
tour-hub-ethiopia-special-interest-tours.jpg,5,"Coffee, Culinary & Special-Interest Journeys hub hero",,,needed
tour-hub-addis-ababa-day-tours.jpg,5,"Addis Day Tours, Stopovers & Business Travel hub hero",,,needed
guide-hub-hero.jpg,6,"Travel-guide hub hero",,,needed
guide-when-to-visit-ethiopia-hero.jpg,6,"When to Visit Ethiopia",,,needed
guide-ethiopia-travel-circuits-hero.jpg,6,"Ethiopia Travel Circuits Explained",,,needed
guide-how-to-plan-your-trip-hero.jpg,6,"How to Plan an Ethiopia Trip",,,needed
guide-how-to-get-to-ethiopia-hero.jpg,6,"How to Get to Ethiopia",,,needed
guide-ethiopia-domestic-flights-hero.jpg,6,"Ethiopia Domestic Flights & Road Transfers",,,needed
guide-ethiopia-visa-guide-hero.jpg,6,"Ethiopia Visa & Entry Requirements",,,needed
guide-health-safety-ethiopia-hero.jpg,6,"Health, Altitude & Travel Safety in Ethiopia",,,needed
guide-safety-in-ethiopia-hero.jpg,6,"Safety in Ethiopia for Travelers",,,needed
guide-what-to-pack-for-ethiopia-hero.jpg,6,"What to Pack for Ethiopia",,,needed
guide-ethiopia-travel-costs-hero.jpg,6,"Ethiopia Travel Costs & Budgeting",,,needed
guide-hotels-lodges-ethiopia-hero.jpg,6,"Hotels & Lodges in Ethiopia",,,needed
guide-ethiopia-safaris-hero.jpg,6,"Planning an Ethiopia Safari",,,needed
guide-popular-wildlife-ethiopia-hero.jpg,6,"Wildlife to See in Ethiopia",,,needed
guide-ethiopia-birding-guide-hero.jpg,6,"Birdwatching in Ethiopia",,,needed
guide-ethiopia-photography-guide-hero.jpg,6,"Photography in Ethiopia",,,needed
guide-drone-binocular-permits-ethiopia-hero.jpg,6,"Drone, Binocular & Equipment Permissions",,,needed
guide-ethiopian-food-coffee-hero.jpg,6,"Ethiopian Food, Coffee & Cuisine",,,needed
guide-ethiopia-festival-calendar-hero.jpg,6,"Ethiopia Festival Calendar",,,needed
guide-cultural-etiquette-ethiopia-hero.jpg,6,"Cultural Etiquette in Ethiopia",,,needed
guide-responsible-travel-ethiopia-hero.jpg,6,"Responsible Travel in Ethiopia",,,needed
guide-mobile-camping-ethiopia-hero.jpg,6,"Mobile Camping & Remote Logistics",,,needed
guide-general-travel-tips-hero.jpg,6,"Ethiopia Travel Tips & Practical Advice",,,needed
guide-why-visit-ethiopia-hero.jpg,6,"Why Visit Ethiopia",,,needed
https://placehold.co/1920x1080/FBEAF0/72243E?text=moments-gelada-hero,7,"What It's Really Like to See a Gelada Monkey in the Simien Mountains",,,needed
https://placehold.co/1920x1080/FBEAF0/72243E?text=moments-why-ethiopia-hero,7,"Why Ethiopia Is Not a Safari Destination — and Why That's the Point",,,needed
https://placehold.co/1920x1080/FBEAF0/72243E?text=moments-planning-hero,7,"How We Plan a Custom Ethiopia Journey: A Real Example",,,needed
https://placehold.co/1920x1080/FBEAF0/72243E?text=moments-hamer-hero,7,"The Hamar Bull-Jumping Ceremony: What It Is and How to Experience It",,,needed
https://placehold.co/1920x1080/FBEAF0/72243E?text=moments-abuna-hero,7,"Abuna Yemata Guh: Ethiopia's Most Extraordinary Church and the Climb to Reach It",,,needed
https://placehold.co/1920x1080/FBEAF0/72243E?text=moments-timkat-hero,7,"Timkat in Gondar: What Ethiopia's Epiphany Celebration Looks Like From the Inside",,,needed
https://placehold.co/1920x1080/FBEAF0/72243E?text=moments-wolf-hero,7,"The Ethiopian Wolf: Hunting at Dawn on the Sanetti Plateau",,,needed
https://placehold.co/1920x1080/FBEAF0/72243E?text=moments-danakil-hero,7,"What the Danakil Depression Is Really Like: An Honest Account",,,needed
https://placehold.co/1920x1080/FBEAF0/72243E?text=moments-omo-photo-hero,7,"Photographing the Omo Valley: Ethics, Access, and What Actually Works",,,needed
